Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Main Actors
tt0364569,5,2024-06-19,Oldboy,Oldeuboi,https://www.imdb.com/title/tt0364569,Film,8.3,120,2003,"Giallo, Thriller, Azione, Drammatico",701071,2005-05-06,Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong"
tt5687612,8,2024-06-15,Fleabag,Fleabag,https://www.imdb.com/title/tt5687612,Serie TV,8.7,30,2016,"Commedia, Drammatico",237375,2017-02-10,,"Phoebe Waller-Bridge, Sian Clifford, Olivia Colman"
tt12037194,6,2024-06-13,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194,Film,7.5,148,2024,"Azione, Avventura, Fantascienza",308858,2024-05-23,George Miller,"Anya Taylor-Joy, Chris Hemsworth, Tom Burke"
tt14230388,6,2024-06-13,Asteroid City,Asteroid City,https://www.imdb.com/title/tt14230388,Film,6.4,105,2023,"Commedia, Sentimentale, Drammatico, Fantascienza",140456,2023-09-28,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks"
tt0936501,6,2024-06-03,Io vi troverò,Taken,https://www.imdb.com/title/tt0936501,Film,7.7,90,2008,"Azione, Thriller, Poliziesco",664431,2008-08-14,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen"
tt1193138,7,2024-05-29,Tra le nuvole,Up in the Air,https://www.imdb.com/title/tt1193138,Film,7.4,109,2009,"Drammatico, Sentimentale, Commedia",358271,2010-01-22,Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick"
tt27683368,5,2024-05-20,Santocielo,Santocielo,https://www.imdb.com/title/tt27683368,Film,5.7,120,2023,Commedia,718,2023-12-14,Francesco Amato,"Salvatore Ficarra, Valentino Picone, Barbara Ronchi"
tt7049542,5,2024-05-17,An Acceptable Loss - Decisione estrema,The Pages,https://www.imdb.com/title/tt7049542,Film,5.5,102,2018,"Drammatico, Thriller",1848,2019-01-18,Joe Chappelle,"Tika Sumpter, Jamie Lee Curtis, Ben Tavassoli"
tt3674140,8,2024-05-10,Il sale della terra,The Salt of the Earth,https://www.imdb.com/title/tt3674140,Film,8.4,110,2014,"Documentario, Biografico, Storico",24991,2014-10-23,"Juliano Ribeiro Salgado,Wim Wenders","Sebastião Salgado, Wim Wenders, Lélia Wanick Salgado"
tt17279496,7,2024-05-05,Civil War,Civil War,https://www.imdb.com/title/tt17279496,Film,7.0,109,2024,"Azione, Thriller, Guerra",256943,2024-04-18,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny"
tt16426418,7,2024-04-28,Challengers,Challengers,https://www.imdb.com/title/tt16426418,Film,7.0,131,2024,"Drammatico, Sentimentale, Sportivo, Commedia",169092,2024-04-24,Luca Guadagnino,"Mike Faist, Josh O'Connor, Zendaya"
tt10492998,6,2024-04-20,Odio l'estate,Odio l'estate,https://www.imdb.com/title/tt10492998,Film,6.7,110,2020,Commedia,4132,2020-01-30,Massimo Venier,"Aldo Baglio, Giovanni Storti, Giacomo Poretti"
tt0080339,6,2024-04-18,L'aereo più pazzo del mondo,Airplane!,https://www.imdb.com/title/tt0080339,Film,7.7,88,1980,Commedia,281987,1980-10-30,"Jim Abrahams,David Zucker,Jerry Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen"
tt0311429,6,2024-04-04,La leggenda degli uomini straordinari,The League of Extraordinary Gentlemen,https://www.imdb.com/title/tt0311429,Film,5.8,110,2003,"Fantastico, Avventura, Fantascienza, Azione",190480,2003-10-10,Stephen Norrington,"Sean Connery, Stuart Townsend, Peta Wilson"
tt1462764,6,2024-03-30,Indiana Jones e il quadrante del destino,Indiana Jones and the Dial of Destiny,https://www.imdb.com/title/tt1462764,Film,6.5,154,2023,"Azione, Avventura, Fantascienza",227168,2023-06-28,James Mangold,"Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas"
tt23561236,8,2024-03-21,American Fiction,American Fiction,https://www.imdb.com/title/tt23561236,Film,7.5,117,2023,"Drammatico, Commedia",114998,2024-01-20,Cord Jefferson,"Jeffrey Wright, Skyler Wright, John Ales"
tt20871388,5,2024-03-18,Il grande giorno,Il grande giorno,https://www.imdb.com/title/tt20871388,Film,6.1,90,2022,Commedia,1979,2022-12-22,Massimo Venier,"Aldo Baglio, Giovanni Storti, Giacomo Poretti"
tt0072037,7,2024-03-12,Profumo di donna,Profumo di donna,https://www.imdb.com/title/tt0072037,Film,7.5,103,1974,"Drammatico, Commedia",5629,1974-12-20,Dino Risi,"Vittorio Gassman, Alessandro Momo, Agostina Belli"
tt15239678,8,2024-03-05,Dune - Parte due,Dune: Part Two,https://www.imdb.com/title/tt15239678,Film,8.4,166,2024,"Avventura, Drammatico, Fantascienza, Azione",684944,2024-02-28,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson"
tt13238346,6,2024-03-04,Past Lives,Past Lives,https://www.imdb.com/title/tt13238346,Film,7.8,105,2023,"Drammatico, Sentimentale",164460,2024-02-14,Celine Song,"Greta Lee, Teo Yoo, John Magaro"
tt27503384,7,2024-02-23,Perfect Days,Perfect Days,https://www.imdb.com/title/tt27503384,Film,7.9,124,2023,Drammatico,95232,2024-01-04,Wim Wenders,"Kôji Yakusho, Tokio Emoto, Arisa Nakano"
tt5537002,7,2024-02-15,Killers of the Flower Moon,Killers of the Flower Moon,https://www.imdb.com/title/tt5537002,Film,7.5,206,2023,"Drammatico, Poliziesco, Storico, Western",295957,2023-10-19,Martin Scorsese,"Leonardo DiCaprio, Robert De Niro, Lily Gladstone"
tt17009710,6,2024-02-08,Anatomia di una caduta,Anatomie d'une chute,https://www.imdb.com/title/tt17009710,Film,7.6,151,2023,"Drammatico, Thriller, Poliziesco, Giallo",185932,2023-10-26,Justine Triet,"Sandra Hüller, Swann Arlaud, Milo Machado-Graner"
